prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
524262;78.3;8.9;12.2;37.9;15.6;11.6;12.2;12.7;51.589
524263;80.0;8.9;12.2;33.6;15.7;11.3;13.5;12.5;52.635
524264;83.5;8.9;12.2;37.7;15.7;10.7;11.3;12.3;55.182
524265;83.4;8.9;12.2;38.4;15.5;12.4;11.4;13.3;53.835
524266;82.5;8.9;12.2;38.3;15.9;13.5;10.7;12.2;54.157
524267;82.1;8.9;12.2;53.1;16.2;12.6;12.8;12.4;65.024
524268;81.9;8.9;12.2;54.0;16.4;11.0;12.7;13.9;70.381
524269;82.2;8.9;12.2;54.3;16.7;12.2;11.5;12.2;52.871
524270;83.2;8.9;12.2;71.5;17.1;10.0;10.8;13.8;53.966
524271;82.7;8.9;12.2;66.5;16.9;11.7;10.6;14.5;54.829
524272;82.4;9.0;12.2;93.6;16.8;20.6;20.7;19.6;60.121
524273;85.6;8.9;12.2;71.1;16.6;10.9;12.7;13.1;59.249
524274;87.8;9.0;12.2;69.9;16.5;12.3;11.7;13.2;65.193
524275;88.4;8.9;12.2;65.2;16.4;10.6;11.1;14.2;56.110
524276;88.9;8.9;12.2;66.8;16.1;10.8;11.5;14.5;54.198
524277;90.4;9.0;12.2;68.5;15.7;11.9;9.3;13.3;55.939
524278;92.0;9.0;12.2;69.6;15.7;12.2;11.8;12.9;55.256
524279;94.2;9.1;12.2;65.8;15.6;12.8;12.4;12.8;56.688
524280;95.5;9.1;12.2;68.7;15.4;19.0;16.2;16.9;53.235
524281;93.5;9.0;12.2;71.8;15.1;13.0;12.2;13.7;59.371
524282;92.1;9.0;12.2;74.0;15.4;10.8;12.2;13.8;58.675
524283;90.8;9.0;12.2;72.9;15.6;13.2;10.8;14.1;59.014
524284;90.1;8.9;12.2;75.9;16.0;13.4;13.4;14.7;52.373
524285;90.5;9.0;12.2;81.3;16.3;12.2;10.3;12.4;52.478
524286;88.9;9.0;12.2;84.5;16.2;12.7;11.9;12.8;51.809
524287;86.4;9.0;12.2;92.6;16.0;14.1;10.6;14.6;51.565
524288;91.8;9.1;12.2;98.7;16.0;86.6;87.9;85.5;53.041
524289;91.6;9.0;12.2;90.5;16.2;23.6;17.8;17.7;52.213
524290;91.7;9.0;12.2;86.4;16.6;13.1;14.3;13.4;53.352
524291;91.4;9.0;12.2;81.1;16.5;12.4;10.5;14.0;52.816
524292;91.5;9.0;12.2;73.5;16.5;13.1;14.3;15.4;50.847
524293;92.9;9.0;12.2;79.4;16.3;13.0;11.6;13.2;51.298
524294;93.9;9.0;12.2;70.9;16.4;11.3;10.9;14.3;52.471
524295;95.8;9.0;12.2;68.7;16.4;12.3;12.0;12.6;53.645
524296;96.2;9.0;12.2;70.7;16.1;20.9;16.8;18.2;54.744
524297;93.7;9.0;12.2;68.6;16.2;11.9;11.1;12.9;53.518
524298;92.3;9.0;12.2;66.2;16.6;11.2;10.6;14.0;53.198
524299;90.4;9.0;12.2;65.7;16.9;12.3;11.8;14.2;53.484
524300;89.3;8.9;12.2;70.0;17.2;13.8;11.9;12.4;54.052
524301;89.9;8.9;12.2;67.8;17.2;12.2;10.7;13.0;53.404
524302;87.5;8.8;12.2;69.1;17.4;10.9;10.7;12.5;52.386
524303;85.5;8.8;12.2;72.3;17.0;12.3;12.2;13.0;54.180
524304;82.6;8.9;12.2;93.5;16.7;25.7;18.5;20.0;52.825
524305;83.4;8.9;12.2;70.6;16.9;11.5;12.7;13.0;52.742
524306;83.1;8.9;12.2;60.1;16.8;11.2;11.9;12.1;52.961
524307;82.3;8.9;12.2;52.3;16.5;11.3;10.6;12.3;50.903
524308;81.8;8.9;12.2;49.9;16.4;11.3;10.3;13.3;52.043
524309;81.7;9.0;12.2;45.2;16.0;11.1;10.1;11.6;53.994
524310;81.9;9.1;12.2;41.4;16.1;8.9;12.0;14.2;51.430
524311;82.1;9.0;12.2;37.4;15.8;14.0;10.7;13.5;51.959
524312;84.6;9.1;12.2;33.1;15.9;13.7;13.3;14.5;53.526
