prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
102;33.1;9.0;12.2;12.1;15.1;13.5;13.0;12.8;52.716
103;32.7;8.9;12.2;19.4;15.2;11.4;12.7;11.8;51.709
104;32.4;9.0;12.2;40.0;15.4;10.3;14.4;12.9;58.365
105;32.2;9.0;12.2;37.4;15.7;14.2;11.1;13.5;55.662
106;32.1;9.1;12.2;15.5;15.7;14.0;9.9;13.4;53.933
107;31.7;9.0;12.2;23.7;15.9;12.3;12.6;14.2;54.112
108;31.5;9.0;12.2;22.0;15.6;14.3;13.2;13.3;55.315
109;31.1;9.0;12.2;19.4;15.3;14.4;12.2;13.8;53.566
110;30.8;9.1;12.2;29.7;15.3;13.2;13.0;12.3;53.553
111;30.7;9.2;12.2;32.7;15.1;12.5;12.4;13.5;54.347
112;30.4;9.2;12.2;16.6;14.6;12.6;15.6;17.9;73.781
113;30.1;9.1;12.2;40.5;14.6;11.9;11.5;14.0;72.398
114;30.0;9.0;12.2;20.8;14.8;11.8;12.4;12.4;55.812
115;29.8;9.0;12.2;34.4;15.3;13.8;12.5;13.2;54.329
116;29.4;9.0;12.2;13.4;15.0;12.6;11.7;14.8;53.864
117;29.4;9.1;12.2;18.9;15.0;12.1;12.8;11.9;54.696
118;29.0;9.1;12.2;20.1;14.9;12.0;10.6;11.7;55.013
119;28.9;9.0;12.2;37.9;15.1;14.4;12.6;13.3;54.028
120;28.6;8.9;12.2;13.7;14.9;13.8;10.8;13.0;54.051
121;28.4;8.8;12.2;23.2;15.2;13.5;11.8;13.9;53.635
122;28.2;8.8;12.2;33.9;15.3;14.5;12.3;13.5;56.214
123;27.9;8.8;12.2;16.3;15.3;12.0;10.7;11.3;56.353
124;27.8;8.9;12.2;41.1;15.0;11.8;12.6;12.1;52.958
125;27.5;8.9;12.2;23.6;14.9;12.0;12.5;11.9;52.596
126;27.2;8.9;12.2;51.7;14.9;12.4;12.0;12.6;52.805
127;27.0;9.0;12.2;68.8;14.6;13.7;13.1;13.2;52.766
128;26.8;9.0;12.2;96.2;14.1;31.4;40.9;33.8;52.872
129;26.6;8.9;12.2;67.4;14.3;12.7;12.8;11.3;53.083
130;26.5;9.0;12.2;53.0;14.4;12.1;14.0;12.5;52.623
131;26.2;8.9;12.2;23.5;14.8;11.3;12.0;12.1;52.746
132;26.2;9.0;12.2;44.2;14.6;12.3;11.2;11.0;53.265
133;26.2;9.0;12.2;15.7;15.0;13.6;11.0;13.4;51.597
134;25.7;9.0;12.2;32.9;15.0;11.5;11.6;12.6;51.638
135;25.6;9.0;12.2;13.1;14.9;11.7;10.5;12.2;52.902
136;25.4;8.9;12.2;15.6;14.8;12.4;13.7;13.3;51.742
137;25.4;8.9;12.2;10.3;15.2;11.8;11.6;12.6;52.282
138;25.0;8.9;12.2;40.7;15.5;13.1;12.7;13.2;52.465
139;24.7;9.0;12.2;11.1;15.5;12.9;11.7;13.4;53.782
140;24.8;9.0;12.2;17.8;15.1;11.1;12.3;13.0;58.918
141;24.7;9.0;12.2;10.1;15.1;11.4;10.4;12.5;52.164
142;24.4;9.1;12.2;39.2;15.0;11.9;11.5;13.0;52.980
143;24.1;9.1;12.2;32.1;14.9;13.9;10.9;13.5;53.525
144;23.9;9.1;12.2;18.0;14.7;13.4;14.9;16.7;52.497
145;23.9;9.1;12.2;38.2;14.8;11.4;13.0;13.8;52.553
146;23.5;9.0;12.2;17.6;14.6;13.1;11.5;13.7;55.625
147;23.6;9.0;12.2;20.3;14.8;10.4;10.7;12.0;53.947
148;23.4;9.0;12.2;24.4;14.5;11.6;11.0;13.9;53.691
149;23.1;9.1;12.2;23.8;14.9;12.9;12.3;12.2;53.525
150;22.9;9.1;12.2;23.0;15.0;13.1;12.0;13.7;52.660
151;22.9;9.0;12.2;23.2;15.0;12.1;12.7;13.2;53.692
152;22.7;8.9;12.2;29.0;14.9;11.7;11.8;14.4;55.013
