prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
2147483597;33.0;9.0;12.2;4.5;15.1;10.7;12.2;13.9;53.573
2147483598;33.5;9.0;12.2;0.1;15.1;12.0;11.9;12.7;53.467
2147483599;34.1;9.0;12.2;3.8;14.8;10.6;11.8;12.0;55.005
2147483600;34.6;8.9;12.2;0.0;14.5;12.0;13.0;17.0;55.158
2147483601;35.2;9.0;12.2;13.6;14.5;9.9;10.7;13.4;54.548
2147483602;35.8;9.0;12.2;1.0;14.8;10.5;13.5;13.7;58.975
2147483603;36.6;9.0;12.2;34.8;15.2;11.1;10.9;13.7;57.617
2147483604;37.4;9.0;12.2;0.9;15.5;10.2;13.6;11.7;57.801
2147483605;37.9;9.0;12.2;25.8;15.7;11.9;12.2;12.4;58.602
2147483606;38.8;9.0;12.2;7.6;16.0;10.6;11.9;13.0;78.929
2147483607;39.3;9.0;12.2;6.9;16.0;11.3;13.6;12.7;65.763
2147483608;40.0;9.0;12.2;3.5;16.0;12.4;10.9;13.1;57.915
2147483609;40.9;9.0;12.2;0.0;15.8;11.5;10.7;14.3;59.866
2147483610;41.7;9.0;12.2;2.8;15.7;10.3;11.6;13.4;59.858
2147483611;42.4;9.1;12.2;15.0;15.5;11.3;10.2;13.2;56.222
2147483612;43.3;9.0;12.2;3.8;14.8;10.7;12.0;13.5;54.511
2147483613;44.2;9.0;12.2;0.8;14.5;11.0;12.1;13.9;57.833
2147483614;45.1;9.0;12.2;19.5;14.5;9.6;13.0;12.4;56.816
2147483615;46.0;9.0;12.2;15.6;14.4;11.6;12.3;12.8;61.575
2147483616;47.0;9.0;12.2;45.3;14.4;17.0;23.2;20.5;64.718
2147483617;48.0;9.1;12.2;16.4;14.4;13.1;13.0;12.8;57.725
2147483618;49.0;9.2;12.2;15.8;14.6;12.3;10.9;13.2;54.166
2147483619;50.0;9.1;12.2;0.2;15.3;13.2;11.2;15.3;55.000
2147483620;51.2;9.1;12.2;5.3;15.7;10.9;10.4;11.4;55.451
2147483621;52.3;9.0;12.2;0.0;15.8;11.2;11.6;13.9;52.987
2147483622;53.5;9.0;12.2;11.7;16.3;11.6;10.8;11.7;53.482
2147483623;54.7;9.1;12.2;5.7;16.2;12.4;10.2;13.4;55.569
2147483624;56.0;9.1;12.2;1.7;16.5;10.3;10.6;13.0;54.080
2147483625;57.3;9.0;12.2;9.7;16.7;11.7;11.6;12.3;53.399
2147483626;58.6;9.0;12.2;4.0;16.6;9.6;10.7;11.4;54.094
2147483627;60.0;9.0;12.2;2.2;16.5;10.7;11.5;11.7;53.792
2147483628;61.5;9.0;12.2;0.0;16.1;10.7;10.9;11.0;56.629
2147483629;63.0;9.0;12.2;0.0;15.4;11.3;11.2;13.0;55.067
2147483630;64.6;9.0;12.2;0.0;15.3;12.3;11.8;12.0;56.222
2147483631;66.1;9.0;12.2;0.0;15.2;11.1;13.1;13.2;51.644
2147483632;67.8;9.0;12.2;0.0;15.3;18.2;16.1;19.0;53.353
2147483633;69.5;8.9;12.2;1.0;15.3;12.4;11.6;13.7;54.380
2147483634;71.2;8.9;12.2;4.6;15.4;11.3;12.5;11.9;52.412
2147483635;73.1;8.9;12.2;8.4;15.8;13.6;10.6;13.8;54.793
2147483636;74.9;9.0;12.2;14.0;15.9;12.3;12.3;12.8;53.097
2147483637;76.7;9.0;12.2;23.2;16.2;11.7;13.0;13.9;54.215
2147483638;78.7;9.1;12.2;33.0;16.3;11.3;10.8;12.5;51.721
2147483639;80.6;9.1;12.2;41.9;16.3;12.5;12.4;12.7;52.179
2147483640;82.6;9.0;12.2;51.1;16.5;16.9;13.3;17.5;53.402
2147483641;84.5;9.0;12.2;60.9;16.7;12.1;10.6;14.1;53.998
2147483642;86.5;9.0;12.2;70.5;16.8;10.5;12.2;12.8;53.034
2147483643;88.5;9.0;12.2;79.1;16.9;12.8;10.4;15.4;53.075
2147483644;90.5;9.0;12.2;86.3;16.3;13.4;14.7;17.3;60.460
2147483645;92.5;9.0;12.2;91.9;15.9;12.9;12.4;13.5;52.361
2147483646;94.5;9.0;12.2;96.0;15.7;19.5;17.6;17.8;53.902
2147483647;96.5;9.1;12.2;98.5;15.5;77.7;70.0;74.6;55.948
