prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
28739431;7.5;8.9;12.2;12.9;16.0;10.5;11.7;13.0;54.195
28739432;7.5;9.0;12.2;14.0;15.9;11.2;11.5;11.9;56.368
28739433;7.6;9.1;12.2;16.9;15.7;12.3;10.9;12.7;59.806
28739434;7.7;9.1;12.2;12.8;15.4;11.5;12.3;13.0;55.343
28739435;7.5;9.1;12.2;12.0;15.7;11.0;9.5;14.6;58.400
28739436;8.1;9.1;12.2;13.0;15.8;12.8;11.8;10.6;57.550
28739437;9.1;9.1;12.2;12.8;16.1;13.0;10.9;11.9;57.660
28739438;13.5;9.1;12.2;16.9;16.0;11.6;11.5;10.7;66.055
28739439;10.0;9.1;12.2;12.5;16.5;11.7;11.8;11.5;61.093
28739440;7.9;9.0;12.2;19.4;16.6;11.0;13.5;15.9;65.983
28739441;7.1;9.0;12.2;14.2;16.5;12.0;10.7;14.0;59.818
28739442;7.2;9.0;12.2;14.8;16.3;11.8;12.6;13.4;58.054
28739443;7.9;9.0;12.2;12.4;16.4;11.0;11.3;12.5;60.511
28739444;9.0;9.0;12.2;16.0;16.2;11.5;11.0;12.8;55.737
28739445;8.0;9.0;12.2;12.4;16.1;10.9;12.1;13.1;57.252
28739446;7.6;9.0;12.2;15.1;16.1;10.5;12.8;12.4;59.286
28739447;7.7;9.0;12.2;20.4;16.0;11.8;10.3;14.3;58.333
28739448;9.0;9.0;12.2;19.5;16.0;11.1;12.1;11.2;56.644
28739449;10.2;9.0;12.2;13.2;15.7;10.6;10.4;12.0;55.905
28739450;7.9;9.0;12.2;13.8;15.4;11.6;11.4;12.9;56.322
28739451;7.7;9.0;12.2;12.1;15.3;10.6;12.4;12.5;60.312
28739452;8.5;9.0;12.2;13.5;15.4;12.1;10.8;13.6;54.860
28739453;9.2;9.0;12.2;13.3;15.5;11.4;11.9;13.7;57.070
28739454;10.6;8.9;12.2;12.2;15.5;10.7;10.8;12.9;54.581
28739455;9.4;8.9;12.2;9.7;15.7;11.7;10.8;13.0;54.659
28739456;8.9;8.9;12.2;9.2;16.1;20.5;34.7;36.4;53.638
28739457;7.9;8.9;12.2;11.3;16.3;10.1;11.0;13.1;53.497
28739458;8.2;9.0;12.2;8.9;16.1;10.6;13.0;15.2;55.170
28739459;7.8;9.0;12.2;11.2;16.6;10.3;11.0;13.1;54.570
28739460;7.5;9.1;12.2;34.0;16.6;11.4;13.9;12.4;53.095
28739461;7.6;9.0;12.2;14.0;16.5;12.8;13.7;12.7;53.777
28739462;8.4;9.1;12.2;14.3;16.6;12.4;12.2;13.3;54.853
28739463;8.9;9.0;12.2;11.1;16.5;10.8;12.5;13.7;53.681
28739464;9.0;9.0;12.2;10.6;16.1;11.1;10.2;12.3;53.458
28739465;7.8;9.1;12.2;13.8;16.0;11.8;11.6;14.6;56.731
28739466;8.7;9.0;12.2;15.1;16.0;10.8;10.8;12.8;54.990
28739467;9.3;9.0;12.2;14.2;15.6;12.0;10.9;12.8;54.767
28739468;7.7;9.0;12.2;13.7;15.7;11.6;12.1;12.5;58.786
28739469;7.3;9.0;12.2;12.1;15.9;11.2;10.8;12.7;54.379
28739470;7.4;9.0;12.2;12.4;16.0;10.9;11.8;13.2;54.016
28739471;7.7;9.0;12.2;13.3;16.1;11.9;11.6;11.3;56.121
28739472;7.9;9.1;12.2;10.8;16.4;11.0;13.4;15.8;55.093
28739473;8.3;9.1;12.2;14.0;16.6;11.4;10.5;12.2;56.961
28739474;8.1;9.0;12.2;13.4;16.5;11.5;11.5;12.6;56.126
28739475;7.6;9.0;12.2;12.9;16.5;10.1;12.1;12.7;54.916
28739476;7.3;9.1;12.2;12.7;16.3;11.6;11.5;12.9;54.331
28739477;7.9;9.0;12.2;11.4;16.2;12.8;12.3;12.3;55.815
28739478;9.2;9.0;12.2;12.3;16.4;12.2;12.8;12.4;54.523
28739479;10.7;9.1;12.2;11.2;16.1;11.2;13.5;14.6;55.218
28739480;14.1;9.0;12.2;11.1;15.5;12.8;14.3;12.1;55.169
28739481;12.4;9.1;12.2;15.2;15.3;12.0;11.0;14.3;54.925
