prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
1;98.2;9.1;12.2;99.2;15.6;58.7;46.2;46.9;52.156
2;97.2;9.1;12.2;97.9;16.0;29.4;28.1;26.5;52.646
3;96.2;9.0;12.2;95.9;16.3;24.2;21.5;19.8;54.797
4;95.2;9.0;12.2;93.1;16.7;23.3;25.4;24.5;54.620
5;94.2;9.0;12.2;89.5;17.1;21.1;20.7;19.6;55.490
6;93.2;9.0;12.2;85.1;17.3;19.8;21.4;18.7;57.458
7;92.2;9.0;12.2;79.9;17.8;20.5;19.7;16.9;69.675
8;91.2;9.1;12.2;74.1;17.3;23.5;21.1;17.8;53.541
9;90.2;9.1;12.2;67.6;17.7;21.2;17.0;20.0;55.662
10;89.1;9.0;12.2;60.5;17.7;20.4;16.9;18.2;56.350
11;88.1;9.0;12.2;53.4;17.3;16.3;16.6;18.2;59.704
12;87.1;8.9;12.2;45.8;16.5;20.2;15.9;13.9;58.478
13;86.1;8.9;12.2;39.2;16.4;16.7;17.5;19.8;61.769
14;85.1;8.9;12.2;34.9;16.4;16.8;16.7;18.3;55.875
15;84.1;8.9;12.2;31.9;16.2;20.0;13.5;16.0;74.630
16;83.1;8.9;12.2;29.6;16.3;22.9;18.6;18.9;56.458
17;82.1;8.9;12.2;27.8;16.0;13.8;12.4;14.2;54.583
18;81.1;8.9;12.2;25.4;16.2;19.0;13.9;14.0;63.471
19;80.1;9.0;12.2;23.3;16.3;19.2;16.4;12.4;54.147
20;79.1;9.0;12.2;21.1;16.7;17.2;14.6;14.0;53.269
21;78.2;9.1;12.2;22.5;17.0;15.1;14.8;16.6;60.326
22;77.2;9.1;12.2;23.9;17.3;15.7;13.7;15.4;58.733
23;76.2;9.0;12.2;28.3;17.5;17.6;15.3;13.9;51.878
24;75.3;9.0;12.2;15.5;17.4;17.1;14.8;15.1;51.366
25;74.4;9.0;12.2;23.5;17.6;16.8;15.0;13.0;51.527
26;73.5;9.0;12.2;22.0;17.8;17.3;14.9;15.4;51.900
27;72.6;9.0;12.2;6.6;17.4;18.3;14.1;14.1;53.371
28;71.7;9.0;12.2;28.8;17.1;13.3;12.6;12.4;52.539
29;70.8;9.0;12.2;4.3;17.0;12.4;11.5;13.7;51.986
30;69.9;9.0;12.2;19.5;17.3;13.1;11.7;14.4;52.920
31;68.9;8.9;12.2;36.2;17.1;14.0;10.6;13.4;52.377
32;68.1;9.0;12.2;42.8;16.7;24.9;24.3;20.5;51.376
33;67.3;9.0;12.2;38.4;16.6;17.2;12.9;13.3;52.808
34;66.4;9.1;12.2;20.3;16.7;15.8;13.8;16.5;53.842
35;65.7;9.1;12.2;5.0;17.2;13.0;13.6;13.9;52.005
36;64.9;9.0;12.2;5.7;17.6;15.8;14.8;16.2;52.639
37;64.1;9.1;12.2;43.5;17.6;13.9;13.2;13.5;51.735
38;63.2;9.0;12.2;7.1;18.1;13.5;13.7;12.7;52.268
39;62.6;9.0;12.2;10.9;18.3;15.8;13.2;12.4;52.736
40;61.8;9.1;12.2;7.7;18.4;18.0;14.7;12.5;54.112
41;61.0;9.1;12.2;8.6;18.4;15.8;12.9;10.7;52.050
42;60.3;9.1;12.2;8.3;18.2;15.0;12.1;13.8;52.354
43;59.7;9.1;12.2;25.3;18.1;16.1;12.2;13.9;51.677
44;58.9;9.0;12.2;20.0;17.9;13.7;12.0;13.1;51.814
45;58.2;9.0;12.2;35.4;17.8;15.3;11.9;13.7;52.356
46;57.6;9.0;12.2;9.2;17.9;14.6;13.8;13.1;51.415
47;56.9;9.1;12.2;13.3;17.5;13.6;14.8;15.6;52.040
48;56.2;9.1;12.2;17.9;17.1;14.4;15.0;16.7;52.249
49;55.5;9.1;12.2;9.6;17.0;15.0;12.9;12.3;51.771
50;55.0;9.2;12.2;12.7;17.3;15.6;13.7;13.7;51.004
