prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
131046;54.6;9.0;12.2;22.8;16.0;12.4;12.8;13.1;53.801
131047;56.0;9.0;12.2;17.7;16.4;11.6;10.8;12.2;54.483
131048;56.3;9.1;12.2;34.8;16.5;10.6;11.7;13.4;54.493
131049;57.9;9.0;12.2;26.2;16.2;11.2;10.7;12.4;54.001
131050;60.2;8.9;12.2;26.6;16.1;10.6;11.7;11.8;56.806
131051;60.9;8.9;12.2;33.0;15.9;11.8;12.3;11.0;56.803
131052;61.5;8.9;12.2;41.6;16.0;12.7;10.4;12.6;54.632
131053;63.7;8.9;12.2;34.6;15.8;12.6;11.0;12.0;55.653
131054;66.3;9.0;12.2;35.3;15.8;11.5;11.3;13.1;59.711
131055;66.5;8.9;12.2;42.1;15.9;10.6;11.1;11.7;58.124
131056;67.6;8.9;12.2;33.6;15.8;13.2;14.9;17.3;58.214
131057;70.3;8.9;12.2;58.9;15.6;13.2;12.0;12.5;68.998
131058;72.3;8.9;12.2;63.0;15.5;12.8;12.1;12.2;78.881
131059;73.0;8.9;12.2;58.8;15.6;11.3;12.0;14.1;58.184
131060;74.5;8.9;12.2;60.1;15.5;12.5;11.8;15.5;56.718
131061;77.5;8.9;12.2;64.9;15.5;11.5;11.1;12.8;58.483
131062;79.1;8.9;12.2;71.4;15.8;11.5;10.0;15.8;56.537
131063;80.3;9.0;12.2;79.6;15.9;12.7;11.7;12.6;55.405
131064;82.2;9.0;12.2;79.0;16.0;12.9;12.8;14.8;56.998
131065;85.2;9.0;12.2;86.4;15.9;10.6;10.4;13.2;56.049
131066;86.6;8.9;12.2;87.4;15.5;16.9;12.2;13.2;65.451
131067;87.9;9.0;12.2;91.7;15.9;11.7;12.6;13.7;55.860
131068;90.1;9.0;12.2;96.5;15.7;16.3;15.9;15.4;56.190
131069;93.0;9.0;12.2;94.7;15.5;15.5;11.3;15.0;55.542
131070;94.5;9.0;12.2;95.6;15.8;19.7;15.3;13.5;55.655
131071;92.9;9.0;12.2;97.4;16.0;24.1;18.4;23.2;55.898
131072;95.9;9.0;12.2;99.7;16.2;92.6;93.2;90.1;54.125
131073;95.8;9.0;12.2;97.3;15.9;32.5;24.0;22.7;54.878
131074;94.9;9.0;12.2;96.4;15.8;25.8;22.2;16.3;54.667
131075;92.6;9.0;12.2;94.6;16.1;14.4;13.0;12.8;54.856
131076;90.1;9.0;12.2;98.3;16.4;17.8;13.4;16.0;53.786
131077;89.2;9.0;12.2;93.0;16.6;13.2;12.8;13.7;55.126
131078;87.5;9.0;12.2;88.9;16.4;15.0;14.4;15.4;55.921
131079;85.0;9.0;12.2;83.2;16.4;12.1;11.1;15.9;53.642
131080;82.2;9.0;12.2;80.1;16.4;12.8;13.1;14.6;54.420
131081;81.3;9.0;12.2;78.7;16.6;11.7;11.4;13.3;54.871
131082;80.3;9.0;12.2;74.7;16.4;12.1;11.6;13.8;53.444
131083;77.6;9.1;12.2;67.4;16.9;13.5;11.3;12.6;53.376
131084;74.6;9.0;12.2;64.7;16.9;13.9;11.5;13.4;55.246
131085;73.9;8.9;12.2;58.3;17.0;11.3;11.8;12.6;54.068
131086;73.8;8.9;12.2;53.1;16.9;10.9;11.6;14.0;52.746
131087;71.2;8.9;12.2;53.7;16.4;10.0;12.7;11.8;53.247
131088;67.9;8.9;12.2;39.5;16.2;14.1;15.1;17.8;52.332
131089;66.9;8.9;12.2;39.8;15.8;11.6;12.0;15.2;54.786
131090;67.9;9.0;12.2;36.9;15.9;12.5;10.9;12.5;53.578
131091;65.3;9.0;12.2;37.0;16.3;11.4;11.9;13.6;53.645
131092;61.9;9.0;12.2;36.7;16.4;10.2;13.3;12.8;52.743
131093;60.6;9.0;12.2;32.6;16.4;9.9;10.3;13.1;54.548
131094;61.9;8.9;12.2;29.1;16.5;11.4;11.3;12.9;53.466
131095;60.4;9.0;12.2;27.9;16.4;11.6;11.8;13.3;53.556
131096;56.8;9.0;12.2;21.1;16.6;13.3;12.0;12.9;53.585
